label,variable,data
Kuwait,Annual growth rate of real GDP per capita,3.94
Kyrgyzstan,Annual growth rate of real GDP per capita,4.49
Lao People's Democratic Republic,Annual growth rate of real GDP per capita,2.01
Latvia,Annual growth rate of real GDP per capita,5.35
Lebanon,Annual growth rate of real GDP per capita,-5.83
Lesotho,Annual growth rate of real GDP per capita,0.34
Liberia,Annual growth rate of real GDP per capita,-2.44
Libya,Annual growth rate of real GDP per capita,26.74
Liechtenstein,Annual growth rate of real GDP per capita,3.81
Lithuania,Annual growth rate of real GDP per capita,7.26
Luxembourg,Annual growth rate of real GDP per capita,3.64
Madagascar,Annual growth rate of real GDP per capita,3.21
Malawi,Annual growth rate of real GDP per capita,0.1
Malaysia,Annual growth rate of real GDP per capita,1.98
Maldives,Annual growth rate of real GDP per capita,39.84
Mali,Annual growth rate of real GDP per capita,0.47
Malta,Annual growth rate of real GDP per capita,9.32
Marshall Islands,Annual growth rate of real GDP per capita,5.42
Martinique,Annual growth rate of real GDP per capita,N/A
Mauritania,Annual growth rate of real GDP per capita,-0.14
Mauritius,Annual growth rate of real GDP per capita,3.47
Mayotte,Annual growth rate of real GDP per capita,N/A
Mexico,Annual growth rate of real GDP per capita,4.14
Micronesia (Federated States of),Annual growth rate of real GDP per capita,-4.07
Monaco,Annual growth rate of real GDP per capita,22.34
Mongolia,Annual growth rate of real GDP per capita,-0.2
Montenegro,Annual growth rate of real GDP per capita,13.26
Montserrat,Annual growth rate of real GDP per capita,7.46
Morocco,Annual growth rate of real GDP per capita,0.66
Mozambique,Annual growth rate of real GDP per capita,-0.54
Myanmar,Annual growth rate of real GDP per capita,-18.51
Namibia,Annual growth rate of real GDP per capita,0.77
Nauru,Annual growth rate of real GDP per capita,-0.88
Nepal,Annual growth rate of real GDP per capita,1.86
Netherlands (Kingdom of the),Annual growth rate of real GDP per capita,4.46
New Caledonia,Annual growth rate of real GDP per capita,-2.58
New Zealand,Annual growth rate of real GDP per capita,2.33
Nicaragua,Annual growth rate of real GDP per capita,8.82
Niger,Annual growth rate of real GDP per capita,-2.3
Nigeria,Annual growth rate of real GDP per capita,1.18
Niue,Annual growth rate of real GDP per capita,N/A
Norfolk Island,Annual growth rate of real GDP per capita,N/A
North Macedonia,Annual growth rate of real GDP per capita,4.35
Northern Mariana Islands,Annual growth rate of real GDP per capita,N/A
Norway,Annual growth rate of real GDP per capita,3.44
Oman,Annual growth rate of real GDP per capita,3.62
Pakistan,Annual growth rate of real GDP per capita,4.55
Palau,Annual growth rate of real GDP per capita,-13.59
Panama,Annual growth rate of real GDP per capita,13.83
Papua New Guinea,Annual growth rate of real GDP per capita,-0.91
Paraguay,Annual growth rate of real GDP per capita,3.67
Peru,Annual growth rate of real GDP per capita,11.97
Philippines,Annual growth rate of real GDP per capita,4.14
Pitcairn,Annual growth rate of real GDP per capita,N/A
Poland,Annual growth rate of real GDP per capita,7.18
Portugal,Annual growth rate of real GDP per capita,5.57
Puerto Rico,Annual growth rate of real GDP per capita,0.69
Qatar,Annual growth rate of real GDP per capita,4.25
Republic of Korea,Annual growth rate of real GDP per capita,4.17
Republic of Moldova,Annual growth rate of real GDP per capita,14.81
Romania,Annual growth rate of real GDP per capita,5.72
Russian Federation,Annual growth rate of real GDP per capita,5.12
Rwanda,Annual growth rate of real GDP per capita,8.27
Réunion,Annual growth rate of real GDP per capita,N/A
Saint Barthélemy,Annual growth rate of real GDP per capita,N/A
Saint Helena,Annual growth rate of real GDP per capita,N/A
Saint Kitts and Nevis,Annual growth rate of real GDP per capita,-0.81
Saint Lucia,Annual growth rate of real GDP per capita,6.35
Saint Martin (French Part),Annual growth rate of real GDP per capita,N/A
Saint Pierre and Miquelon,Annual growth rate of real GDP per capita,N/A
Saint Vincent and the Grenadines,Annual growth rate of real GDP per capita,0.8
Samoa,Annual growth rate of real GDP per capita,-4
