ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGGREGATE_X,2021,94.141,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_TOTAL,2021,97.299,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_AGR,2021,99.746,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_MAN,2021,96.588,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_CON,2021,100,U,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_MKT,2021,100,U,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_PUB,2021,59.492,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGGREGATE_X,2021,100,,,,R1:3513_S3:8
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_TOTAL,2021,90.254,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_AGR,2021,99.835,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_NAG,2021,78.129,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_TOTAL,2021,84.799,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_AGR,2021,99.661,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_NAG,2021,69.226,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_TOTAL,2021,95.504,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_AGR,2021,99.978,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_NAG,2021,88.688,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_TOTAL,2021,90.254,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_AGR,2021,99.835,,,,R1:3513
